iter	Passed	Remaining
404	7770	11416
405	7790	11398
406	7814	11385
407	7834	11366
408	7853	11348
409	7871	11327
410	7890	11307
411	7908	11287
412	7928	11268
413	7947	11249
414	7967	11230
415	7986	11211
416	8006	11194
417	8026	11175
418	8045	11155
419	8063	11134
420	8081	11114
421	8099	11093
422	8117	11073
423	8136	11052
424	8154	11032
425	8172	11011
426	8190	10991
427	8208	10970
428	8227	10950
429	8246	10931
430	8265	10911
431	8284	10892
432	8303	10873
433	8322	10854
434	8341	10834
435	8360	10815
436	8380	10796
437	8398	10776
438	8417	10757
439	8437	10738
440	8455	10717
441	8473	10696
442	8491	10676
443	8509	10655
444	8527	10635
445	8546	10615
446	8564	10595
447	8583	10575
448	8601	10555
449	8620	10536
450	8640	10517
451	8658	10497
452	8676	10476
453	8694	10456
454	8712	10435
455	8730	10415
456	8748	10394
457	8766	10374
458	8784	10353
459	8802	10333
460	8820	10313
461	8839	10293
462	8857	10273
463	8876	10253
464	8893	10232
465	8913	10213
466	8931	10193
467	8949	10173
468	8967	10152
469	8984	10131
470	9002	10111
471	9020	10090
472	9040	10072
473	9059	10053
474	9078	10034
475	9097	10014
476	9117	9996
477	9136	9977
478	9155	9958
479	9175	9940
480	9194	9921
481	9213	9902
482	9233	9883
483	9253	9865
484	9273	9846
485	9292	9827
486	9312	9809
487	9331	9790
488	9350	9771
489	9369	9752
490	9389	9733
491	9407	9713
492	9427	9694
493	9445	9675
494	9465	9657
495	9484	9637
496	9502	9617
497	9520	9597
498	9538	9577
499	9556	9556
500	9574	9536
501	9592	9516
502	9610	9496
503	9628	9476
504	9646	9455
505	9664	9435
506	9684	9416
507	9703	9397
508	9724	9380
509	9743	9360
510	9762	9342
511	9781	9323
512	9801	9304
513	9820	9285
514	9839	9266
515	9859	9247
516	9878	9228
517	9899	9211
518	9918	9192
519	9938	9173
520	9957	9154
521	9976	9135
522	9995	9116
523	10015	9097
524	10034	9078
525	10053	9059
526	10071	9039
527	10089	9019
528	10108	9000
529	10128	8982
530	10148	8963
531	10167	8944
532	10187	8925
533	10206	8907
534	10226	8888
535	10245	8869
536	10265	8850
537	10284	8831
538	10302	8811
539	10323	8793
540	10342	8775
541	10361	8755
542	10380	8736
543	10398	8716
544	10416	8696
545	10434	8676
546	10452	8656
547	10470	8636
548	10488	8616
549	10506	8596
550	10526	8577
551	10546	8559
552	10565	8540
553	10584	8521
554	10604	8502
555	10624	8484
556	10643	8465
557	10662	8445
558	10681	8426
559	10700	8407
560	10719	8388
561	10740	8370
562	10759	8351
563	10778	8332
564	10796	8312
565	10815	8292
566	10833	8273
567	10851	8253
568	10870	8233
569	10888	8213
570	10907	8194
571	10925	8174
572	10943	8154
573	10962	8136
574	10981	8116
575	11000	8097
576	11018	8077
577	11036	8057
578	11054	8037
579	11072	8018
580	11090	7998
581	11108	7978
582	11127	7958
583	11145	7939
584	11164	7920
585	11182	7900
586	11201	7880
587	11219	7860
588	11236	7841
589	11255	7821
590	11273	7801
591	11291	7781
592	11309	7762
593	11327	7742
594	11345	7722
595	11364	7703
596	11382	7683
597	11400	7663
598	11418	7643
599	11436	7624
600	11453	7604
601	11471	7584
602	11490	7564
603	11508	7545
604	11526	7525
605	11544	7505
606	11562	7485
607	11580	7466
608	11599	7447
609	11617	7427
610	11635	7407
611	11652	7387
612	11670	7367
613	11688	7348
614	11706	7328
615	11724	7308
616	11742	7288
617	11760	7269
618	11778	7249
619	11796	7230
620	11815	7210
621	11833	7191
622	11851	7171
623	11869	7152
624	11887	7132
625	11906	7113
626	11924	7093
627	11942	7074
628	11960	7054
629	11977	7034
630	11995	7014
631	12014	6995
632	12032	6976
633	12050	6956
634	12068	6937
635	12086	6917
636	12104	6898
637	12122	6878
638	12140	6858
639	12158	6839
640	12176	6819
641	12194	6799
642	12211	6780
643	12230	6761
644	12249	6741
645	12266	6722
646	12284	6702
647	12302	6683
648	12320	6663
649	12338	6644
650	12356	6624
651	12374	6604
652	12392	6585
653	12409	6565
654	12427	6545
655	12446	6526
656	12464	6507
657	12482	6487
658	12500	6468
659	12518	6448
660	12536	6429
661	12553	6409
662	12571	6390
663	12589	6370
664	12607	6351
665	12625	6331
666	12642	6311
667	12661	6292
668	12679	6273
669	12697	6254
670	12715	6234
671	12732	6214
672	12751	6195
673	12768	6176
674	12786	6156
675	12804	6137
676	12823	6117
677	12841	6098
678	12859	6079
679	12880	6061
680	12899	6042
681	12919	6023
682	12938	6005
683	12957	5986
684	12977	5967
685	12996	5948
686	13016	5930
687	13035	5911
688	13054	5892
689	13074	5873
690	13094	5855
691	13113	5836
692	13132	5817
693	13151	5798
694	13169	5779
695	13187	5759
696	13205	5740
697	13223	5721
698	13241	5702
