iter	MultiClass
0	1.737517414
1	1.688247721
2	1.638813795
3	1.593731346
4	1.545909542
5	1.488137914
6	1.453324955
7	1.415411789
8	1.389613856
9	1.359574056
10	1.332898574
11	1.306902295
12	1.28427554
13	1.253596557
14	1.233327299
15	1.213134382
16	1.193638571
17	1.178029275
18	1.15637111
19	1.140995838
20	1.126367383
21	1.107784886
22	1.095162112
23	1.078123846
24	1.068829857
25	1.054407752
26	1.040143254
27	1.02850648
28	1.018363472
29	1.001945376
30	0.9862177297
31	0.9764718876
32	0.9636235463
33	0.9519439717
34	0.93717594
35	0.9299066261
36	0.9208805478
37	0.9101473725
38	0.9024219323
39	0.8931574913
40	0.8855231955
41	0.879248961
42	0.8707799443
43	0.8595527991
44	0.8550746311
45	0.847080456
46	0.8410335569
47	0.8327724009
48	0.8244455181
49	0.8168105443
50	0.8085588957
51	0.8001350122
52	0.7956182807
53	0.7898892648
54	0.7825653705
55	0.7766026636
56	0.7684618068
57	0.7622820064
58	0.7575525692
59	0.7526623121
60	0.7499956707
61	0.745940798
62	0.7428051025
63	0.7361113043
64	0.7326650585
65	0.7264981522
66	0.7212378915
67	0.715951895
68	0.711665884
69	0.7087178956
70	0.7022512439
71	0.6961742048
72	0.692915469
73	0.6866575288
74	0.6821513427
75	0.6739772131
76	0.668021446
77	0.6625947011
78	0.6588160907
79	0.654215827
80	0.6517122007
81	0.6455859132
82	0.641117112
83	0.6363106048
84	0.634099744
85	0.6297665854
86	0.6263993091
87	0.6214647778
88	0.6157511159
89	0.6110232371
90	0.6062397525
91	0.6022330126
92	0.5979217537
93	0.5928178268
94	0.5909137052
95	0.5867141983
96	0.5840216105
97	0.5787069994
98	0.5748518639
99	0.5683763514
100	0.5641027077
101	0.5610883696
102	0.556014229
103	0.5525696229
104	0.54825086
105	0.5450226735
106	0.5412720451
107	0.5385722425
108	0.536172632
109	0.5325395916
110	0.5272929642
111	0.5247084895
112	0.5197940241
113	0.5161343706
114	0.513699826
115	0.5107257456
116	0.5076142746
117	0.5061243367
118	0.5029433587
119	0.4993958042
120	0.4965707368
121	0.4940982941
122	0.4912501048
123	0.4874725011
124	0.4832471817
125	0.4808320899
126	0.4785181565
127	0.476655643
128	0.4734528348
129	0.470375145
130	0.4682358387
131	0.4654790843
132	0.4625583915
133	0.4599956518
134	0.458089173
135	0.4550749362
136	0.4528532942
137	0.4507700999
138	0.4473047146
139	0.4461321451
140	0.4445243554
141	0.4432358857
142	0.4419391704
143	0.4399389911
144	0.4371800633
145	0.4348251836
146	0.4334093997
147	0.4312834953
148	0.4296362711
149	0.4258293543
150	0.422741163
151	0.4208625537
152	0.4185786131
153	0.4163796798
154	0.415492178
155	0.4134215657
156	0.4122467072
157	0.4103118676
158	0.4085878492
159	0.4064375136
160	0.4042262099
161	0.4032393337
162	0.4008650453
163	0.3990134067
164	0.3970875046
165	0.3959677424
166	0.3943906648
167	0.3935076411
168	0.3920931754
169	0.3911443997
170	0.3894057651
171	0.3876016436
172	0.3852144905
173	0.3840166669
174	0.3827744663
175	0.3813399602
176	0.3804533129
177	0.3781718845
178	0.3765522564
179	0.3755617898
180	0.3735083459
181	0.3719303598
182	0.3712291429
183	0.3698023593
184	0.3689594076
185	0.3679818729
186	0.3674353192
187	0.3661032574
188	0.3648381001
189	0.3630861894
190	0.3617604672
191	0.3613020138
192	0.359261128
193	0.3568651955
194	0.3549937931
195	0.353960017
196	0.3533945998
197	0.352548587
198	0.3510235781
199	0.3495403005
200	0.3485282323
201	0.3480699786
202	0.3468990712
203	0.3457113516
204	0.3451171943
205	0.3444088458
206	0.3434537992
207	0.341727463
208	0.3401188889
209	0.3389849886
210	0.3383074391
211	0.3369574235
212	0.3361944934
213	0.3350971567
214	0.3341135684
215	0.3335281946
216	0.3313016632
217	0.3305816792
218	0.3294519619
219	0.3289536049
220	0.326562899
221	0.3253733368
222	0.3241568135
